2025-01-14 01:05:36 LogWrapper init() ./logs/main.log
2025-01-14 01:05:36 Bot started with Trade Settings:
{'n_ma': 12, 'n_std': 2.0, 'maxspread': 0.04, 'mingain': 0.06, 'riskreward': 1.5}

2025-01-14 01:05:36 Bot started
2025-01-14 01:06:08 process_candles triggered:['GBPJPY']
2025-01-14 01:07:02 process_candles triggered:['GBPJPY']
2025-01-14 01:08:06 process_candles triggered:['GBPJPY']
2025-01-14 01:09:10 process_candles triggered:['GBPJPY']
2025-01-14 01:10:03 process_candles triggered:['GBPJPY']
2025-01-14 01:11:07 process_candles triggered:['GBPJPY']
2025-01-14 01:12:00 process_candles triggered:['GBPJPY']
2025-01-14 01:12:01 Place Trade: TradeDecision(): GBPJPY dir:-1 gain:0.0986 sl:192.0337 tp:191.8694
2025-01-14 01:13:06 process_candles triggered:['GBPJPY']
2025-01-14 01:13:06 Place Trade: TradeDecision(): GBPJPY dir:-1 gain:0.1170 sl:192.0710 tp:191.8760
2025-01-14 01:14:10 process_candles triggered:['GBPJPY']
2025-01-14 01:15:03 process_candles triggered:['GBPJPY']
2025-01-14 01:16:07 process_candles triggered:['GBPJPY']
2025-01-14 01:17:01 process_candles triggered:['GBPJPY']
2025-01-14 01:18:05 process_candles triggered:['GBPJPY']
2025-01-14 01:19:09 process_candles triggered:['GBPJPY']
2025-01-14 01:20:02 process_candles triggered:['GBPJPY']
2025-01-14 01:21:06 process_candles triggered:['GBPJPY']
2025-01-14 01:22:10 process_candles triggered:['GBPJPY']
2025-01-14 01:23:03 process_candles triggered:['GBPJPY']
2025-01-14 01:24:07 process_candles triggered:['GBPJPY']
2025-01-14 01:25:11 process_candles triggered:['GBPJPY']
2025-01-14 01:26:04 process_candles triggered:['GBPJPY']
2025-01-14 01:27:08 process_candles triggered:['GBPJPY']
2025-01-14 01:28:01 process_candles triggered:['GBPJPY']
2025-01-14 01:29:06 process_candles triggered:['GBPJPY']
2025-01-14 01:30:09 process_candles triggered:['GBPJPY']
2025-01-14 01:31:03 process_candles triggered:['GBPJPY']
2025-01-14 01:32:06 process_candles triggered:['GBPJPY']
2025-01-14 01:33:10 process_candles triggered:['GBPJPY']
2025-01-14 01:34:03 process_candles triggered:['GBPJPY']
2025-01-14 01:35:07 process_candles triggered:['GBPJPY']
2025-01-14 01:36:00 process_candles triggered:['GBPJPY']
